prefixo,nome,transmissao,valor_leitura_plu,valor,intervalo
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,0.0,0.0,2019-01-31 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,0.0,0.0,2019-02-01 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,0.0,0.0,2019-02-02 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,0.2,0.067,2019-02-05 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,0.0,0.25,2019-02-06 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,0.0,0.0,2019-02-07 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,0.0,0.0,2019-02-08 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,0.0,0.0,2019-02-09 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,0.0,0.0,2019-02-10 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,0.0,0.0,2019-02-11 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,11.6,1.801,2019-02-12 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,4.2,4.65,2019-02-13 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,0.0,0.34,2019-02-14 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,0.0,0.0,2019-02-15 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,41.2,14.294,2019-02-16 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,0.0,0.0,2019-02-17 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,0.0,0.0,2019-02-18 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,0.0,0.0,2019-02-19 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,0.0,0.0,2019-02-20 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,1.8,0.113,2019-02-21 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,5.4,1.905,2019-02-22 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,0.4,1.972,2019-02-23 00:00:00 UTC
1000350,RIBEIRÃO DOS COUROS - MERCEDES BENS,WEBSERVICE,0.0,0.035,2019-02-24 00:00:00 UTC
